Bubble 36: Position(x=905, y=3687, width=277, height=102), File: extracted_bubbles\bubble_36.png
Bubble 53: Position(x=778, y=3645, width=158, height=144), File: extracted_bubbles\bubble_53.png
Bubble 54: Position(x=2236, y=3642, width=103, height=147), File: extracted_bubbles\bubble_54.png
Bubble 71: Position(x=1354, y=3605, width=722, height=184), File: extracted_bubbles\bubble_71.png
Bubble 85: Position(x=256, y=3561, width=251, height=228), File: extracted_bubbles\bubble_85.png
Bubble 86: Position(x=1283, y=3558, width=122, height=118), File: extracted_bubbles\bubble_86.png
Bubble 91: Position(x=1812, y=3539, width=326, height=132), File: extracted_bubbles\bubble_91.png
Bubble 98: Position(x=2312, y=3506, width=136, height=283), File: extracted_bubbles\bubble_98.png
Bubble 99: Position(x=124, y=3505, width=210, height=284), File: extracted_bubbles\bubble_99.png
Bubble 117: Position(x=970, y=3361, width=398, height=404), File: extracted_bubbles\bubble_117.png
Bubble 119: Position(x=824, y=3314, width=344, height=354), File: extracted_bubbles\bubble_119.png
Bubble 131: Position(x=1066, y=3239, width=167, height=101), File: extracted_bubbles\bubble_131.png
Bubble 133: Position(x=0, y=3235, width=248, height=554), File: extracted_bubbles\bubble_133.png
Bubble 152: Position(x=1167, y=3068, width=161, height=116), File: extracted_bubbles\bubble_152.png
Bubble 154: Position(x=750, y=3042, width=81, height=150), File: extracted_bubbles\bubble_154.png
Bubble 157: Position(x=75, y=3013, width=73, height=195), File: extracted_bubbles\bubble_157.png
Bubble 164: Position(x=2045, y=2971, width=403, height=818), File: extracted_bubbles\bubble_164.png
Bubble 166: Position(x=1242, y=2964, width=149, height=117), File: extracted_bubbles\bubble_166.png
Bubble 184: Position(x=1328, y=2889, width=160, height=106), File: extracted_bubbles\bubble_184.png
Bubble 185: Position(x=730, y=2887, width=186, height=158), File: extracted_bubbles\bubble_185.png
Bubble 188: Position(x=836, y=2825, width=190, height=267), File: extracted_bubbles\bubble_188.png
Bubble 189: Position(x=1125, y=2820, width=116, height=131), File: extracted_bubbles\bubble_189.png
Bubble 193: Position(x=745, y=2775, width=394, height=521), File: extracted_bubbles\bubble_193.png
Bubble 194: Position(x=148, y=2743, width=594, height=830), File: extracted_bubbles\bubble_194.png
Bubble 196: Position(x=441, y=2706, width=863, height=1083), File: extracted_bubbles\bubble_196.png
Bubble 203: Position(x=1328, y=2661, width=995, height=1001), File: extracted_bubbles\bubble_203.png
Bubble 223: Position(x=1715, y=2373, width=200, height=119), File: extracted_bubbles\bubble_223.png
Bubble 226: Position(x=1881, y=2360, width=143, height=134), File: extracted_bubbles\bubble_226.png
Bubble 230: Position(x=1392, y=2344, width=287, height=248), File: extracted_bubbles\bubble_230.png
Bubble 239: Position(x=1318, y=2278, width=141, height=103), File: extracted_bubbles\bubble_239.png
Bubble 240: Position(x=1341, y=2272, width=254, height=222), File: extracted_bubbles\bubble_240.png
Bubble 243: Position(x=1714, y=2243, width=208, height=148), File: extracted_bubbles\bubble_243.png
Bubble 261: Position(x=1715, y=2108, width=272, height=168), File: extracted_bubbles\bubble_261.png
Bubble 279: Position(x=1892, y=2031, width=343, height=411), File: extracted_bubbles\bubble_279.png
Bubble 286: Position(x=775, y=1965, width=165, height=225), File: extracted_bubbles\bubble_286.png
Bubble 292: Position(x=588, y=1854, width=93, height=173), File: extracted_bubbles\bubble_292.png
Bubble 293: Position(x=338, y=1850, width=588, height=742), File: extracted_bubbles\bubble_293.png
Bubble 301: Position(x=848, y=1712, width=283, height=370), File: extracted_bubbles\bubble_301.png
Bubble 304: Position(x=1140, y=1681, width=187, height=122), File: extracted_bubbles\bubble_304.png
Bubble 316: Position(x=1823, y=1403, width=625, height=675), File: extracted_bubbles\bubble_316.png
Bubble 318: Position(x=760, y=1389, width=120, height=243), File: extracted_bubbles\bubble_318.png
Bubble 328: Position(x=1214, y=1300, width=465, height=1126), File: extracted_bubbles\bubble_328.png
Bubble 341: Position(x=920, y=1239, width=370, height=450), File: extracted_bubbles\bubble_341.png
Bubble 347: Position(x=281, y=1162, width=475, height=700), File: extracted_bubbles\bubble_347.png
Bubble 348: Position(x=956, y=1156, width=153, height=224), File: extracted_bubbles\bubble_348.png
Bubble 349: Position(x=1464, y=1145, width=753, height=961), File: extracted_bubbles\bubble_349.png
Bubble 351: Position(x=820, y=1122, width=497, height=284), File: extracted_bubbles\bubble_351.png
